City.Name,Latitude,Longitude,Arithmetic.Mean,Date.Local,County.Name,State.Name
Los Angeles,34.06659,-118.22688,16.6,2017-09-01,Los Angeles,California
Los Angeles,34.06659,-118.22688,17.5,2017-09-02,Los Angeles,California
Los Angeles,34.06659,-118.22688,12,2017-09-03,Los Angeles,California
Los Angeles,34.06659,-118.22688,11,2017-09-04,Los Angeles,California
Los Angeles,34.06659,-118.22688,11.6,2017-09-05,Los Angeles,California
Los Angeles,34.06659,-118.22688,14.4,2017-09-06,Los Angeles,California
Los Angeles,34.06659,-118.22688,16,2017-09-07,Los Angeles,California
Los Angeles,34.06659,-118.22688,15.8,2017-09-08,Los Angeles,California
Los Angeles,34.06659,-118.22688,13.2,2017-09-09,Los Angeles,California
Los Angeles,34.06659,-118.22688,12.7,2017-09-10,Los Angeles,California
Los Angeles,34.06659,-118.22688,13.2,2017-09-11,Los Angeles,California
Los Angeles,34.06659,-118.22688,9.6,2017-09-12,Los Angeles,California
Los Angeles,34.06659,-118.22688,8,2017-09-13,Los Angeles,California
Los Angeles,34.06659,-118.22688,6.7,2017-09-14,Los Angeles,California
Los Angeles,34.06659,-118.22688,7.6,2017-09-15,Los Angeles,California
Los Angeles,34.06659,-118.22688,9.7,2017-09-16,Los Angeles,California
Los Angeles,34.06659,-118.22688,10.5,2017-09-17,Los Angeles,California
Los Angeles,34.06659,-118.22688,12,2017-09-18,Los Angeles,California
Los Angeles,34.06659,-118.22688,9.7,2017-09-19,Los Angeles,California
Los Angeles,34.06659,-118.22688,9,2017-09-20,Los Angeles,California
Los Angeles,34.06659,-118.22688,7.6,2017-09-21,Los Angeles,California
Los Angeles,34.06659,-118.22688,7.4,2017-09-22,Los Angeles,California
Los Angeles,34.06659,-118.22688,8.8,2017-09-23,Los Angeles,California
Los Angeles,34.06659,-118.22688,8.2,2017-09-24,Los Angeles,California
Los Angeles,34.06659,-118.22688,6.4,2017-09-25,Los Angeles,California
Los Angeles,34.06659,-118.22688,12.6,2017-09-26,Los Angeles,California
Los Angeles,34.06659,-118.22688,14.5,2017-09-27,Los Angeles,California
Los Angeles,34.06659,-118.22688,14.7,2017-09-28,Los Angeles,California
Los Angeles,34.06659,-118.22688,13.8,2017-09-29,Los Angeles,California
Los Angeles,34.06659,-118.22688,21.7,2017-09-30,Los Angeles,California
Miami,25.794222,-80.215556,7.5,2017-09-01,Miami-Dade,Florida
Miami,25.794222,-80.215556,7.5,2017-09-04,Miami-Dade,Florida
Miami,25.794222,-80.215556,8.2,2017-09-22,Miami-Dade,Florida
Miami,25.794222,-80.215556,10.3,2017-09-25,Miami-Dade,Florida
Miami,25.794222,-80.215556,6.9,2017-09-28,Miami-Dade,Florida
Portland,45.496641,-122.602877,5,2017-09-01,Multnomah,Oregon
Portland,45.496641,-122.602877,15.2,2017-09-04,Multnomah,Oregon
Portland,45.496641,-122.602877,19.9,2017-09-07,Multnomah,Oregon
Portland,45.496641,-122.602877,3.1,2017-09-10,Multnomah,Oregon
