Latitude,Longitude,Zipcode
40.06921875,-75.0053333333333,19114
39.99890625,-75.1333333333333,19133
39.98484375,-75.1866666666667,19121
39.98015625,-75.1866666666667,19121
39.98015625,-75.1813333333333,19121
39.98015625,-75.176,19121
39.98015625,-75.1013333333333,19134
39.97546875,-75.1973333333333,19104-1469
39.97546875,-75.192,19104-1469
39.97546875,-75.1866666666667,19121
39.97546875,-75.1813333333333,19121
39.97078125,-75.192,19129-1712
39.97078125,-75.1813333333333,19130
39.96609375,-75.192,19104
39.96609375,-75.1866666666667,19104-2892
39.96609375,-75.1813333333333,19130
39.96609375,-75.176,19130
39.96609375,-75.1706666666667,19130
39.96609375,-75.144,19123
39.96140625,-75.192,19104
39.96140625,-75.1866666666667,19104-2892
39.96140625,-75.1813333333333,19104-2892
39.96140625,-75.176,19130
39.96140625,-75.1706666666667,19130
39.96140625,-75.1653333333333,19130
39.96140625,-75.16,19123
39.96140625,-75.1546666666667,19105
39.96140625,-75.1493333333333,19123
39.95671875,-75.192,19104
39.95671875,-75.1866666666667,19104
39.95671875,-75.1813333333333,19104-2989
39.95671875,-75.176,19103
39.95671875,-75.1493333333333,19106
39.95203125,-75.2133333333333,19143
39.95203125,-75.1973333333333,19104
39.95203125,-75.192,19104-2989
39.95203125,-75.1866666666667,19104-2989
39.95203125,-75.1813333333333,19104-2989
39.95203125,-75.176,19104
39.94734375,-75.1973333333333,19104
39.94734375,-75.192,19104
39.94734375,-75.1866666666667,19104-2989
39.94734375,-75.176,19103
39.94265625,-75.1973333333333,19146
39.94265625,-75.192,19146
39.94265625,-75.1813333333333,19146
39.93796875,-75.1973333333333,19146
39.93796875,-75.1813333333333,19146
39.93796875,-75.176,19146
39.93796875,-75.1706666666667,19146
39.93328125,-75.1973333333333,19145
39.93328125,-75.1706666666667,19146
39.92859375,-75.1973333333333,19145
39.92859375,-75.1706666666667,19145
39.92390625,-75.192,19145
39.92390625,-75.1706666666667,19145
39.91921875,-75.192,19145
39.91921875,-75.1706666666667,19148
39.91453125,-75.192,19145
39.91453125,-75.1706666666667,19145
39.90984375,-75.192,19145
39.90984375,-75.1866666666667,19145
39.90984375,-75.176,19145
39.90984375,-75.1706666666667,19148
39.90515625,-75.192,19145
39.90515625,-75.1866666666667,19148
39.90515625,-75.1813333333333,19148
39.90515625,-75.176,19145
39.90046875,-75.1813333333333,19148
39.90046875,-75.176,19148
40.1320863414634,-75.0163998709239,19116
40.1320863414634,-75.0073852105978,19116
40.1230731707317,-75.02541453125,19116
40.1230731707317,-75.0163998709239,19116
40.1230731707317,-75.0073852105978,19116
40.1230731707317,-74.9983705502717,19116
40.1230731707317,-74.9893558899456,19116
40.11406,-75.0434438519022,19116
40.11406,-75.0344291915761,19116
40.11406,-75.02541453125,19116
40.11406,-75.0163998709239,19116
40.11406,-75.0073852105978,19116
40.11406,-74.9983705502717,19116
40.11406,-74.9893558899456,19154
40.11406,-74.9803412296196,19154
40.11406,-74.9713265692935,19154
40.1050468292683,-75.0524585122283,19115
40.1050468292683,-75.0434438519022,19115
40.1050468292683,-75.0344291915761,19115
40.1050468292683,-75.02541453125,19116
40.1050468292683,-75.0163998709239,19116
40.1050468292683,-75.0073852105978,19116
40.1050468292683,-74.9983705502717,19154
40.1050468292683,-74.9893558899456,19154
40.1050468292683,-74.9803412296196,19154
40.1050468292683,-74.9713265692935,19154
40.0960336585366,-75.0614731725543,19115
40.0960336585366,-75.0524585122283,19115
40.0960336585366,-75.0434438519022,19115
40.0960336585366,-75.0344291915761,19115
40.0960336585366,-75.02541453125,19115
40.0960336585366,-75.0163998709239,19116
40.0960336585366,-75.0073852105978,19154
40.0960336585366,-74.9983705502717,19154
40.0960336585366,-74.9893558899456,19154
40.0960336585366,-74.9803412296196,19154
40.0960336585366,-74.9713265692935,19154
40.0960336585366,-74.9623119089674,19154
40.0870204878049,-75.2237370584239,19118
40.0870204878049,-75.2147223980978,19118
40.0870204878049,-75.0704878328804,19111
40.0870204878049,-75.0614731725543,19115
40.0870204878049,-75.0524585122283,19115
40.0870204878049,-75.0434438519022,19114
40.0870204878049,-75.0344291915761,19115
40.0870204878049,-75.02541453125,19115
40.0870204878049,-75.0163998709239,19114
40.0870204878049,-75.0073852105978,19115
40.0870204878049,-74.9983705502717,19154
40.0870204878049,-74.9893558899456,19154
40.0870204878049,-74.9803412296196,19154
40.0870204878049,-74.9713265692935,19154
40.0870204878049,-74.9623119089674,19154-3131
40.0780073170732,-75.23275171875,19444
40.0780073170732,-75.2237370584239,19118
40.0780073170732,-75.2147223980978,19118
40.0780073170732,-75.2057077377717,19118
40.0780073170732,-75.1786637567935,19150
40.0780073170732,-75.1696490964674,19150
40.0780073170732,-75.0795024932065,19111
40.0780073170732,-75.0704878328804,19111
40.0780073170732,-75.0614731725543,19115
40.0780073170732,-75.0524585122283,19152
40.0780073170732,-75.0434438519022,19115
40.0780073170732,-75.0344291915761,19115
40.0780073170732,-75.02541453125,19114
40.0780073170732,-75.0163998709239,19114
40.0780073170732,-75.0073852105978,19115
40.0780073170732,-74.9983705502717,19114
40.0780073170732,-74.9893558899456,19154
40.0780073170732,-74.9803412296196,19154
40.0780073170732,-74.9713265692935,19154
40.0689941463415,-75.2417663790761,19128
40.0689941463415,-75.23275171875,19128
40.0689941463415,-75.2237370584239,19118
40.0689941463415,-75.2147223980978,19118
40.0689941463415,-75.2057077377717,19118
40.0689941463415,-75.1966930774456,19118
40.0689941463415,-75.1876784171196,19119
40.0689941463415,-75.1786637567935,19150
40.0689941463415,-75.1696490964674,19150
40.0689941463415,-75.1606344361413,19150
40.0689941463415,-75.1516197758152,19138
40.0689941463415,-75.0885171535326,19111
40.0689941463415,-75.0795024932065,19111
40.0689941463415,-75.0704878328804,19111
40.0689941463415,-75.0614731725543,19152
40.0689941463415,-75.0524585122283,19152
40.0689941463415,-75.0434438519022,19152
40.0689941463415,-75.0344291915761,19152
40.0689941463415,-75.02541453125,19114
40.0689941463415,-75.0163998709239,19114
40.0689941463415,-75.0073852105978,19114
40.0689941463415,-74.9983705502717,19114
40.0689941463415,-74.9893558899456,19114
40.0689941463415,-74.9803412296196,19114
40.0599809756098,-75.2507810394022,19128
40.0599809756098,-75.2417663790761,19128
40.0599809756098,-75.23275171875,19128
40.0599809756098,-75.2237370584239,19128
40.0599809756098,-75.2147223980978,19118
40.0599809756098,-75.2057077377717,19118
40.0599809756098,-75.1966930774456,19119
40.0599809756098,-75.1876784171196,19119
40.0599809756098,-75.1786637567935,19119
40.0599809756098,-75.1696490964674,19119
40.0599809756098,-75.1606344361413,19138
40.0599809756098,-75.1516197758152,19138
40.0599809756098,-75.1426051154891,19126
40.0599809756098,-75.133590455163,19126
40.0599809756098,-75.0885171535326,19111
40.0599809756098,-75.0795024932065,19111
40.0599809756098,-75.0704878328804,19111
40.0599809756098,-75.0614731725543,19111
40.0599809756098,-75.0524585122283,19152
40.0599809756098,-75.0434438519022,19152
40.0599809756098,-75.0344291915761,19152
40.0599809756098,-75.02541453125,19136
40.0599809756098,-75.0163998709239,19114
40.0599809756098,-75.0073852105978,19114
40.0599809756098,-74.9983705502717,19114
40.0599809756098,-74.9893558899456,19114
40.050967804878,-75.2597956997283,19128
40.050967804878,-75.2507810394022,19128
40.050967804878,-75.2417663790761,19128
40.050967804878,-75.23275171875,19128
40.050967804878,-75.2237370584239,19128
40.050967804878,-75.2147223980978,19128
40.050967804878,-75.2057077377717,19119
40.050967804878,-75.1966930774456,19119
40.050967804878,-75.1876784171196,19119
40.050967804878,-75.1786637567935,19119
40.050967804878,-75.1696490964674,19144
40.050967804878,-75.1606344361413,19138
40.050967804878,-75.1516197758152,19141
40.050967804878,-75.1426051154891,19126
40.050967804878,-75.133590455163,19126
40.050967804878,-75.1245757948369,19126
40.050967804878,-75.0975318138587,19111
40.050967804878,-75.0885171535326,19111
40.050967804878,-75.0795024932065,19111
40.050967804878,-75.0704878328804,19111
40.050967804878,-75.0614731725543,19149
40.050967804878,-75.0524585122283,19152
40.050967804878,-75.0434438519022,19152
40.050967804878,-75.0344291915761,19136
40.050967804878,-75.02541453125,19136
40.050967804878,-75.0163998709239,19136
40.050967804878,-75.0073852105978,19136
40.050967804878,-74.9983705502717,19114
40.050967804878,-74.9893558899456,19114
40.050967804878,-74.9803412296196,19114
40.0419546341463,-75.2417663790761,19128
40.0419546341463,-75.23275171875,19128
40.0419546341463,-75.2237370584239,19128
40.0419546341463,-75.2147223980978,19128
40.0419546341463,-75.2057077377717,19119
40.0419546341463,-75.1966930774456,19119
40.0419546341463,-75.1876784171196,19119:19144
40.0419546341463,-75.1786637567935,19144
40.0419546341463,-75.1696490964674,19144
40.0419546341463,-75.1606344361413,19138
40.0419546341463,-75.1516197758152,19141
40.0419546341463,-75.1426051154891,19141
40.0419546341463,-75.133590455163,19120
40.0419546341463,-75.1245757948369,19120
40.0419546341463,-75.1155611345109,19120
40.0419546341463,-75.1065464741848,19120
40.0419546341463,-75.0975318138587,19120
40.0419546341463,-75.0885171535326,19111
40.0419546341463,-75.0795024932065,19111
40.0419546341463,-75.0704878328804,19149
40.0419546341463,-75.0614731725543,19149
40.0419546341463,-75.0524585122283,19149
40.0419546341463,-75.0434438519022,19136
40.0419546341463,-75.0344291915761,19136
40.0419546341463,-75.02541453125,19136
40.0419546341463,-75.0163998709239,19136
40.0419546341463,-75.0073852105978,19136
40.0419546341463,-74.9983705502717,19136
40.0419546341463,-74.9893558899456,19114
40.0329414634146,-75.23275171875,19127
40.0329414634146,-75.2237370584239,19128
40.0329414634146,-75.2147223980978,19128
